,,,,,Product List,,,,,,,,
72,,,"pvc elbow 4"" (45*)",,,,1,,200.2,,,250,
73,,,"pvc elbow 5"" (45*)",,,,1,,441.48,,,500,
74,,,"pvc elbow 6"" (45*)",,,,1,,607.88,,,690,
75,,,"pvc tee 2""",,,,1,,98.8,,,150,
76,,,"pvc tee 3""",,,,1,,215.8,,,290,
77,,,"pvc tee 4""",,,,1,,310.44,,,390,
78,,,"pvc tee 5""",,,,1,,817,,,980,
79,,,"pvc tee 6""",,,,1,,1175,,,1390,
80,,,"pvc plug tee 3""",,,,1,,295.36,,,380,
81,,,"pvc plug tee 4""",,,,1,,405.08,,,490,
82,,,"pvc plug tee 5""",,,,1,,897.52,,,990,
83,,,"pvc plug tee 6""",,,,1,,1086.8,,,1290,
84,,,pvc multi floor trap w/o jalo,,,,1,,626.6,,,690,
85,,,"pvc cowel 2""",,,,1,,44.2,,,90,
86,,,"pvc cowel 3""",,,,1,,86.32,,,120,
87,,,"pvc cowel 4""",,,,1,,106.08,,,150,
88,,,tester light,,,,1,,190,,,300,
89,,,wood proofer (orignal),,,,1,,425,,,700,
90,,,frame hook,,,,1,,5,,,10,
91,,,"pvc yee 2""",,,,1,,185.12,,,220,
92,,,"pvc yee 3""",,,,1,,259.48,,,320,
93,,,"pvc yee 4""",,,,1,,377,,,460,
94,,,"pvc yee 5""",,,,1,,780,,,980,
95,,,"pvc yee 6""",,,,1,,1115.4,,,1390,
96,,,"grinder nut 5"" (steel)",,,,1,,200,,,350,
97,,,grinder nut (plastic) pair,,,,1,,40,,,100,
98,,,"pvc p-trap 2"" (double)",,,,1,,177.84,,,250,
99,,,"pvc p-trap 3"" (double)",,,,1,,393.12,,,450,
100,,,"pvc p-trap 4"" (double)",,,,,,497.12,,,590,
101,,,"pvc clean out 3""",,,,1,,195.52,,,280,
102,,,"pvc mf elbow 3""",,,,1,,164.32,,,260,
103,,,"pvc end cap 2""",,,,1,,75.92,,,100,
104,,,"pvc end cap 3""",,,,1,,111.28,,,180,
105,,,"pvc end cap 4""",,,,1,,124.8,,,190,
106,,,"pvc end cap 5""",,,,1,,272.48,,,390,
107,,,"pvc end cap 6""",,,,1,,448.76,,,590,
108,,,"pvc off set 3""",,,,1,,243.36,,,320,
109,,,"pvc off set 4""",,,,1,,315.12,,,390,
110,,,"pvc socket 2""",,,,1,,60.32,,,90,
111,,,"pvc socket 3""",,,,1,,120.12,,,150,
112,,,"pvc socket 4""",,,,1,,172.64,,,250,
113,,,"pvc socket 5""",,,,1,,267.8,,,370,
114,,,"pvc socket 6""",,,,1,,396.24,,,490,
115,,,"pvc union 2""",,,,1,,350,,,380,
116,,,ppr pipe 25mm (PN -16),,,,1,,702,,,750,
117,,,ppr pipe 32mm (PN -16),,,,1,,1116,,,1190,
118,,,"driver screw 8"" (full rod)",,,,1,,350,,,500,
119,,,"driver screw 10"" (full rod)",,,,1,,375,,,550,
120,,,"driver screw 12"" (full rod)",,,,1,,400,,,600,
121,,,"pvc pipe 2"" (medium class)",,,,1,,820.26,,,1050,
122,,,"pvc pipe 3"" (medium class)",,,,1,,1145.88,,,1450,
123,,,"pvc pipe 4"" (medium class)",,,,1,,1634.58,,,1950,
124,,,"pvc pipe 5"" (medium class)",,,,1,,2290.14,,,2600,
125,,,"pvc pipe 6"" (medium class)",,,,,,3271.86,,,3800,
126,,,"gi elbow 1/2""",,,,1,,66.8,,,120,
127,,,"gi elbow 3/4""",,,,,,98.55,,,180,
128,,,"gi elbow 1""",,,,1,,178.02,,,290,
129,,,"gi elbow 1-1/4""",,,,1,,296,,,390,
130,,,"gi elbow 1-1/2""",,,,1,,481,,,550,
131,,,"gi elbow 2""",,,,1,,846,,,950,
132,,,"gi tee 1/2""",,,,1,,88.3,,,150,
133,,,"gi tee 3/4""",,,,1,,132.97,,,200,
134,,,"gi tee 1""",,,,1,,260.9,,,390,
135,,,"gi tee 1-1/4""",,,,1,,412.19,,,550,
136,,,"gi tee 1-1/2""",,,,1,,624,,,750,
137,,,"gi tee 2""",,,,1,,967,,,1090,
138,,,"gi socket 1/2""",,,,1,,58.9,,,100,
139,,,"gi socket 3/4""",,,,,,79.29,,,150,
140,,,"gi socket 1""",,,,1,,148.2,,,220,
141,,,"gi socket 1-1/4""",,,,1,,301,,,380,
142,,,"gi socket 1-1/2""",,,,1,,284,,,400,
143,,,"gi socket 2""",,,,1,,423.5,,,590,
144,,,"gi nipple 1/2""",,,,1,,60.3,,,100,
145,,,"gi nipple 3/4""",,,,1,,93.2,,,150,
146,,,"gi nipple 1""",,,,1,,161.42,,,220,
147,,,"gi nipple 1-1/4""",,,,1,,220.03,,,350,
148,,,"gi nipple 1-1/2""",,,,1,,375,,,450,
149,,,"gi nipple 2""",,,,1,,581,,,690,
150,,,"gi union 1/2""",,,,1,,300,,,390,
151,,,"gi union 3/4""",,,,1,,307.3,,,490,
152,,,"gi union 1""",,,,1,,422.9,,,580,
153,,,"gi union 1-1/4""",,,,1,,649.72,,,790,
154,,,"gi union 1-1/2""",,,,1,,1070,,,1250,
155,,,"gi union 2""",,,,1,,1520,,,1790,
156,,,"gi bend 1/2""",,,,1,,197,,,250,
157,,,"gi bend 3/4""",,,,1,,271,,,350,
158,,,"gi bend 1""",,,,1,,471,,,550,
159,,,"gi mf elbow 1/2""",,,,1,,84.64,,,160,
160,,,"gi mf elbow 3/4""",,,,,,163,,,220,
161,,,"gi mf elbow 1""",,,,1,,209.3,,,360,
162,,,"gi mf socket 1/2""",,,,1,,101,,,150,
163,,,"gi mf socket 3/4""",,,,1,,139,,,220,
164,,,"gi mf socket 1""",,,,1,,244,,,300,
165,,,"gi bush 1/2"" x 3/4""",,,,1,,26.9,,,90,
166,,,"gi bush 1"" x 3/4""",,,,1,,40.8,,,120,
167,,,"gi bush 1"" x 1/2""",,,,1,,44.49,,,120,
168,,,"gi bush 1-1/4"" x 1/2""",,,,1,,60,,,150,
169,,,"gi bush 1-1/4"" x 3/4""",,,,,,60,,,200,
170,,,"gi bush 1-1/4"" x 1""",,,,1,,123.83,,,200,
171,,,"gi bush 1-1/2"" x 1/2""",,,,1,,97,,,260,
172,,,"gi bush 1-1/2"" x 3/4""",,,,1,,97,,,280,
173,,,"gi bush 1-1/2"" x 1""",,,,1,,115,,,280,
174,,,"gi bush 1-1/2"" x 1-1/4""",,,,1,,120,,,300,
175,,,"gi bush 2"" x 1/2""",,,,1,,145,,,320,
176,,,"gi bush 2"" x 3/4""",,,,1,,146,,,350,
177,,,"gi bush 2""x 1""",,,,1,,203,,,450,
178,,,"gi bush 2"" x 1-1/4""",,,,1,,203,,,480,
179,,,"gi bush 2"" x 1-1/2""",,,,1,,206,,,480,
180,,,"gi plug 1/2"" ",,,,1,,15,,,40,
181,,,"gi plug 3/4"" ",,,,,,20,,,50,
182,,,"gi plug 1"" ",,,,1,,32.7,,,80,
183,,,"poly pipe 3/4"" grey",,,,1,,58,,,90,
184,,,"poly pipe 1"" grey",,,,1,,75,,,90,
185,,,"poly pipe 1-1/4"" grey",,,,1,,150,,,350,
186,,,"poly pipe 1-1/2"" grey",,,,1,,280,,,400,
187,,,"poly pipe 2"" grey",,,,1,,380,,,450,
188,,,"poly bend 3/4"" grey",,,,1,,6.8,,,25,
189,,,"poly bend 1"" grey",,,,1,,8,,,30,
190,,,"poly bend 1-1/4"" grey",,,,1,,25,,,50,
191,,,"poly bend 1-1/2"" grey",,,,1,,55,,,80,
192,,,"poly bend 2"" grey",,,,1,,75,,,100,
193,,,"poly socket 3/4"" grey",,,,1,,5,,,15,
194,,,"poly socket 1"" grey",,,,1,,8,,,20,
195,,,"poly socket 1-1/4"" grey",,,,1,,25,,,30,
196,,,"poly socket 1-1/2"" grey",,,,1,,40,,,60,
197,,,"poly socket 2"" grey",,,,1,,35,,,70,
198,,,"poly box 3 x 3"" grey",,,,1,,25,,,40,
199,,,"poly box 3 x 6"" grey",,,,1,,30,,,70,
200,,,"poly roof box 3/4 """,,,,1,,25,,,30,
201,,,"poly roof box 1 """,,,,1,,35,,,40,
202,,,"poly wall box 3/4 """,,,,1,,11,,,25,
203,,,"poly wall box 1""",,,,1,,15,,,30,
204,,,poly fan box (red),,,,1,,50,,,50,
205,,,extention,,,,1,,780,,,1300,
206,,,"ac drain pipe (24"") orignal",,,,1,,250,,,400,
207,,,"open box 4"" (flat)",,,,1,,55,,,100,
208,,,"open box 4"" (shelter)",,,,1,,50,,,100,
209,,,lock cylender small ,,,,1,,320,,,450,
210,,,lock cylender big,,,,1,,450,,,600,
211,,,"gi bush 1/4"" x 1/2""",,,,1,,30,,,80,
212,,,motor timer sheet,,,,1,,1150,,,1650,
213,,,board wood (S),,,,1,,270,,,450,
214,,,cloth brush hand,,,,1,,90,,,180,
215,,,chain pipe china (1 meter),,,,1,,220,,,500,
216,,,plastic pipe 1m (plastic nut),,,,1,,140,,,350,
217,,,spindal (local),,,,1,,118,,,250,
218,,,spindal (faisal),,,,1,,230,,,350,
219,,,catcher spindal,,,,1,,13.5,,,50,
220,,,tee cock (ARK),,,,1,,620,,,950,
221,,,capacitor 1.2uf,,,,1,,45,,,100,
222,,,capacitor 1.6uf,,,,1,,50,,,120,
1,,,"ac copper pipe 1/2""",,,,1,,245.8,,,300,
2,,,"ac copper pipe 1/4""",,,,1,,110,,,150,
3,,,ac tube cutter,,,,1,,380,,,500,
4,,,m4 x 20 & 22mm dzn.,,,,1,,27.5,,,50,
5,,,m4 x 25mm dzn.,,,,1,,29.5,,,60,
6,,,m4 x 30mm dzn.,,,,1,,33.25,,,60,
7,,,m4 x 35mm dzn.,,,,1,,37.375,,,80,
8,,,rail cock,,,,1,,340,,,550,
9,,,movilith glue 1/2 kg pkt.,,,,1,,310,,,390,
10,,,2 pin shoe (H),,,,1,,60,,,100,
11,,,lighter filling,,,,1,,180,,,350,
12,,,lighter electric,,,,1,,480,,,650,
13,,,cution gladers,,,,1,,5.5,,,10,
14,,,m4 x 40mm dzn.,,,,1,,51.625,,,100,
15,,,m4 x 50mm dzn.,,,,1,,62,,,120,
16,,,exelent bell push,,,,1,,418,,,600,
17,,,aa,,,,1,,0,,,0,
18,,,exelent light plug (ITC 22),,,,1,,541,,,750,
19,,,ac drain pipe (1 piece),,,,1,,30,,,50,
20,,,naryal brush,,,,1,,110,,,150,
21,,,"door brush china 42""",,,,1,,500,,,650,
22,,,shisha ruber,,,,1,,5.5,,,20,
23,,,filter jali (normal),,,,1,,200,,,350,
24,,,filter jali (heavy) CTO GAC,,,,1,,200,,,500,
25,,,"check valve 1"" (anchor)",,,,1,,450,,,700,
26,,,hamer (small),,,,1,,340,,,550,
27,,,hamer (big),,,,1,,420,,,600,
28,,,wire brush,,,,1,,55,,,100,
29,,,hamer normal,,,,1,,175,,,400,
30,,,super master 15x15 (steel),,,,1,,1672,,,2500,
31,,,super master 18x18 (steel),,,,1,,2100,,,3000,
223,,,capacitor 2.2uf,,,,1,,40,,,120,
224,,,capacitor 2.5uf,,,,1,,50,,,150,
225,,,capacitor 3.5uf,,,,1,,50,,,150,
226,,,capacitor 4.5uf,,,,1,,80,,,200,
227,,,capacitor 5uf,,,,1,,70,,,200,
228,,,capacitor 7.5uf,,,,1,,150,,,250,
229,,,capacitor 10uf,,,,1,,125,,,280,
230,,,capacitor 12uf,,,,1,,140,,,300,
231,,,capacitor 16uf,,,,1,,200,,,350,
232,,,capacitor 20uf,,,,1,,225,,,380,
233,,,capacitor 25uf,,,,1,,250,,,420,
234,,,capacitor 30uf,,,,1,,300,,,450,
235,,,capacitor 35uf,,,,1,,300,,,500,
236,,,"Grip plier black 10"" (1282)",,,,1,,600,,,900,
237,,,bearing 6202,,,,1,,70,,,180,
238,,,bearing 6203,,,,1,,90,,,200,
239,,,bearing 6204,,,,,,125,,,250,
240,,,mechanical seal,,,,1,,85,,,200,
241,,,motor seal,,,,1,,12,,,50,
242,,,ro faucet,,,,1,,1300,,,2000,
243,,,tap filter (big),,,,1,,100,,,200,
244,,,factor led (18w) diamond,,,,1,,380,,,600,
245,,,"RBS float valve 3/4"" (half bore)",,,,1,,857.5,,,1400,
246,,,"RBS float valve 1"" (half bore)",,,,1,,969.5,,,1450,
247,,,cable 7/44 (single),,,,1,,250,,,350,
248,,,"amir ball valve 1/2"" ",,,,1,,388,,,600,
249,,,"amir ball valve 3/4"" ",,,,1,,460,,,850,
250,,,parda ring (crome special),,,,1,,72,,,150,
251,,,neck super,,,,1,,576,,,950,
252,,,flexible neck china (crome),,,,1,,380,,,600,
253,,,Qanchi,,,,1,,190,,,300,
254,,,"presure pump lead 18""",,,,1,,2100,,,3500,
255,,,handle lock (N),,,,1,,650,,,1500,
256,,,filter chabi (big),,,,1,,333,,,500,
257,,,scale kanda clock (100 kg),,,,1,,1150,,,1450,
258,,,factor led (20w) blaz,,,,1,,413,,,650,
259,,,grip capsule light (15w),,,,,,732,,,1200,
260,,,khurpa (S),,,,1,,130,,,250,
261,,,factor led (60w) blaz,,,,1,,1265,,,1800,
262,,,"shisha exausat fan 6""",,,,1,,1775,,,2200,
263,,,"shisha exausat fan 8""",,,,1,,1875,,,2500,
264,,,stove single ,,,,1,,1200,,,2000,
265,,,change over (2 way),,,,1,,1250,,,2000,
266,,,lighter without gas,,,,1,,160,,,300,
267,,,factor bulb led (12w) ,,,,1,,150,,,300,
268,,,dk smd light (10w),,,,1,,240,,,380,
269,,,smd 7w without guarentee,,,,1,,100,,,200,
270,,,"smt disc stone 4"" (masala)",,,,1,,125,,,160,
271,,,kavia ,,,,1,,550,,,700,
272,,,spindal lever (handle) steel,,,,1,,280,,,600,
273,,,parda latoo (H),,,,1,,140,,,230,
274,,,hockey pipe (box),,,,1,,300,,,600,
275,,,gole lock (H),,,,1,,930,,,1400,
276,,,cloth wire(H),,,,1,,210,,,350,
277,,,cell (geyser),,,,1,,350,,,550,
278,,,shelf pin (china),,,,1,,5.5,,,10,
279,,,"rbs check valve 1""",,,,1,,380,,,660,
280,,,termite fighter (250ml) spray,,,,1,,200,,,350,
281,,,"hook rawal bolt (1/4"")",,,,1,,40,,,80,
282,,,"hook rawal bolt (5/16"")",,,,1,,48,,,100,
283,,,"hook rawal bolt (3/8"")",,,,1,,56,,,120,
284,,,hook # 8+10,,,,1,,5,,,15,
285,,,winner toilet shower CP ,,,,1,,180,,,700,
286,,,"jet showet 4""x 4"" steel",,,,1,,250,,,450,
287,,,"jet showet 6""x 6"" steel",,,,1,,578,,,800,
288,,,jet shower (faisal type),,,,1,,350,,,750,
289,,,fan dimer amson,,,,1,,184,,,300,
290,,,iron wire,,,,1,,210,,,300,
291,,,iron handle ,,,,1,,160,,,280,
292,,,hook pati,,,,1,,17,,,30,
293,,,hook electric,,,,1,,10.42,,,20,
294,,,cable 3/29 single,,,,1,,38.2353,,,70,
295,,,cable 7/29 single,,,,1,,60,,,120,
296,,,2 core 3/29 (cc),,,,1,,35,,,100,
297,,,2 core 7/29 (cc),,,,1,,25,,,80,
298,,,2 core 23/76 (flat),,,,1,,21,,,40,
299,,,2 core 40/76 (cc),,,,1,,30,,,60,
300,,,ac cable 110/76 (3 core),,,,1,,286.66,,,380,
301,,,spindal lever kit (blue),,,,1,,250,,,500,
302,,,"rbs float valve 3/4"" (VIP spring)",,,,1,,1316.38,,,1800,
303,,,schneider breaker 63Amp (2pole) ,,,,1,,800,,,1500,
304,,,"rbs float valve 1"" (VIP spring) apex",,,,1,,1912.3,,,2500,
305,,,steel washer (dabi),,,,1,,150,,,250,
306,,,schneider breaker 32Amp (2 pole),,,,1,,700,,,1000,
307,,,belt (sewing machine),,,,1,,30,,,150,
308,,,schneider breaker 63Amp (3 pole) ,,,,1,,1200,,,1800,
309,,,solar nut+bolt+washer,,,,1,,17,,,25,
310,,,schneider breaker 32Amp (3pole),,,,1,,1200,,,1800,
311,,,smd open 6w,,,,1,,500,,,650,
312,,,smd down light (multi color),,,,1,,280,,,460,
313,,,smd open 12w,,,,1,,640,,,850,
314,,,branji (loose),,,,1,,4,,,10,
315,,,lock cylender ( medium brass),,,,1,,355,,,500,
316,,,singhi under neck (heavy),,,,1,,950,,,1650,
317,,,"cp nozzle 1""",,,,1,,108,,,180,
318,,,"cp nozzle 1-1/2""",,,,1,,129.2,,,220,
319,,,"cp nozzle 2""",,,,1,,135,,,250,
320,,,"cp nozzle 3""",,,,1,,190,,,300,
321,,,"cp nozzle 4""",,,,1,,286,,,420,
322,,,"cp nozzle 6""",,,,1,,425,,,580,
323,,,motor cover,,,,1,,550,,,680,
324,,,presure pump (espa),,,,1,,3800,,,4500,
325,,,gainer pad lock 30mm ,,,,1,,180,,,280,
326,,,factor led (18w) lomo,,,,1,,325,,,480,
327,,,"filter elbow 1/2""x3/4""",,,,1,,150,,,250,
328,,,meter tape 16' (N),,,,1,,100,,,150,
329,,,meter tape 25',,,,1,,280,,,400,
330,,,meter tape 50' (plastic),,,,1,,230,,,400,
331,,,meter tape 100' (plastic),,,,1,,330,,,550,
332,,,saifan side push master,,,,1,,280,,,750,
333,,,teflon tape (heavy),,,,1,,14.5,,,40,
334,,,ppr pipe 25mm (PN-20),,,,1,,819,,,890,
335,,,ppr pipe 32mm (PN-20),,,,1,,1360,,,1450,
336,,,ppr elbow 25mm ,,,,1,,35,,,40,
337,,,ppr elbow 32mm ,,,,1,,61,,,70,
338,,,ppr elbow 40mm ,,,,1,,97,,,120,
339,,,ppr elbow 25mm (45*),,,,1,,48,,,60,
340,,,ppr elbow 32mm (45*),,,,1,,93,,,120,
341,,,ppr elbow 40mm (45*),,,,1,,124,,,150,
342,,,ppr tee 25mm ,,,,1,,42.16,,,60,
343,,,ppr tee 32mm ,,,,1,,81.22,,,100,
344,,,ppr tee 40mm ,,,,1,,124,,,160,
345,,,ppr socket 25mm ,,,,1,,25.42,,,30,
346,,,ppr socket 32mm ,,,,1,,45.88,,,60,
347,,,ppr socket 40mm ,,,,1,,81.84,,,120,
348,,,ppr union 25mm ,,,,1,,126.48,,,150,
349,,,ppr union 32mm ,,,,1,,201.5,,,240,
381,,,ppr tee 40mm x 32mm,,,,1,,154.38,,,190,
382,,,ppr socket 32mm x 25mm,,,,1,,42.16,,,60,
383,,,ppr socket 40mm x 25mm,,,,1,,57.04,,,80,
384,,,ppr socket 40mm x 32mm,,,,1,,76,,,100,
385,,,ppr gate valve 25mm,,,,1,,851.88,,,950,
386,,,ppr gate valve 32mm,,,,1,,1122.82,,,1250,
387,,,ppr gate valve 40mm,,,,1,,2537.04,,,2870,
388,,,ppr ball valve 25mm,,,,1,,311.86,,,450,
389,,,ppr ball valve 32mm,,,,1,,412.92,,,590,
390,,,ppr ball valve 40mm ,,,,1,,590,,,950,
391,,,"u clamp 1/2""",,,,1,,5.83,,,15,
392,,,"u clamp 3/4""",,,,1,,4,,,15,
393,,,"u clamp 1""",,,,1,,6.66,,,20,
394,,,"u clamp 1-1/4""",,,,1,,10,,,30,
395,,,"u clamp 1-1/2""",,,,1,,10,,,30,
396,,,"u clamp 2""",,,,1,,15.8333,,,40,
397,,,"u clamp 3""",,,,1,,16.666,,,50,
398,,,"u clamp 4""",,,,1,,20,,,100,
399,,,"u clamp 5""",,,,1,,25,,,100,
400,,,"u clamp 6""",,,,1,,40,,,120,
401,,,cylender burner (S),,,,1,,250,,,600,
402,,,cylender burner (L),,,,1,,750,,,1250,
403,,,"plastic pipe 24"" (plastic nut)",,,,1,,100,,,300,
404,,,"conection pipe 18"" (crome)",,,,1,,120,,,300,
405,,,"conection pipe 24"" (crome)",,,,1,,115,,,350,
406,,,conection pipe 1m (crome),,,,1,,170,,,450,
407,,,"duct 1/2"" (china) ",,,,1,,120,,,200,
408,,,current wire,,,,1,,200,,,300,
409,,,"gi socket 1-1/4"" x 1-2""",,,,1,,323,,,400,
410,,,"gi socket 1-1/4"" x 3/4""",,,,1,,323,,,400,
411,,,"gi tee 1-1/4"" x 1/2""",,,,1,,590,,,700,
412,,,"gi tee 1-1/4"" x 3/4""",,,,1,,590,,,700,
476,,,seat cover (heavy) ,,,,1,,750,,,1200,
477,,,pop,,,,1,,40,,,60,
478,,,wall coat (1kg),,,,1,,101,,,120,
479,,,tape (nitto+ bull),,,,1,,80,,,100,
480,,,"adjustable 6""",,,,1,,300,,,450,
481,,,"adjustable 8""",,,,1,,400,,,650,
482,,,"adjustable 10""",,,,1,,500,,,750,
483,,,"adjustable 12""",,,,1,,600,,,900,
484,,,"pipe wrench 8""",,,,1,,550,,,750,
485,,,"pipe wrench 10""",,,,1,,650,,,850,
486,,,"pipe wrench 12""",,,,1,,900,,,1100,
487,,,"pipe wrench 14""",,,,1,,1100,,,1500,
488,,,"pipe wrench 18""",,,,1,,1300,,,1700,
489,,,factor led (30w) blaz,,,,1,,640,,,980,
490,,,"pvc pipe 2"" (feet)",,,,1,,63.08,,,100,
491,,,"pvc pipe 3"" (feet)",,,,1,,92.3,,,140,
492,,,"pvc pipe 4"" (feet)",,,,1,,100,,,170,
493,,,"pvc pipe 5"" (feet)",,,,1,,205,,,290,
494,,,"pvc pipe 6"" (feet)",,,,1,,252,,,350,
495,,,"pvc plug elbow 3""",,,,1,,253.24,,,330,
496,,,"pvc plug elbow 4""",,,,1,,318.24,,,390,
497,,,"pvc plug elbow 5""",,,,1,,539.24,,,650,
498,,,"pvc plug elbow 6""",,,,1,,678.6,,,790,
499,,,"bush 1"" x 3/4"" ss",,,,1,,120,,,250,
500,,,"non return valve 1/2"" khokhar",,,,1,,452.4,,,700,
501,,,"non return valve 1""",,,,1,,806,,,1350,
502,,,"non return valve 1-1/4""",,,,1,,2200,,,2600,
503,,,sink waste jumbo (china),,,,1,,240,,,750,
504,,,basin waste,,,,1,,275,,,550,
505,,,sink waste (steel) misto,,,,1,,235,,,450,
506,,,sink waste (plastic),,,,1,,55,,,200,
507,,,winner toilet shower (color),,,,1,,120,,,500,
539,,,pendent holder,,,,1,,30,,,60,
540,,,ac kit silver 25feet,,,,1,,3750,,,4500,
541,,,"scotch tape2"" (60 yrd.) ",,,,1,,215,,,350,
542,,,piano button,,,,1,,25,,,50,
543,,,piano holder,,,,1,,25,,,50,
544,,,piano socket,,,,1,,25,,,50,
545,,,bell cover steel (small),,,,1,,350,,,500,
546,,,bell cover steel (bigl),,,,1,,400,,,600,
547,,,fridge bulb,,,,1,,46,,,60,
548,,,fan dimer (conect),,,,1,,100,,,300,
549,,,lamp holder,,,,1,,125,,,200,
550,,,"waste pipe 1-1/4"" (grey)",,,,1,,37,,,150,
551,,,"waste pipe 1-1/2"" (grey)",,,,1,,47,,,200,
552,,,comode washer (foam),,,,1,,20,,,100,
553,,,"brass nipple 1""",,,,1,,140,,,280,
554,,,"scotch tape2"" (150 yrd.) ",,,,1,,435,,,650,
555,,,plier (medium),,,,1,,450,,,600,
556,,,nose plier,,,,1,,330,,,550,
557,,,cable cutter (heavy),,,,1,,350,,,500,
558,,,"jamoor 8""",,,,1,,220,,,350,
559,,,flower cutter,,,,1,,550,,,700,
560,,,"Grip plier 10"" (1281)",,,,1,,560,,,850,
561,,,smt rivet gun (106 olympia),,,,1,,700,,,900,
562,,,tee pana + goti ,,,,1,,250,,,380,
563,,,"kateera 10""",,,,1,,800,,,1000,
564,,,"kateera 12""",,,,1,,960,,,1450,
565,,,silicone gun (medium),,,,1,,350,,,500,
566,,,"disc 4"" (regmar)",,,,1,,70,,,120,
567,,,guarden qanchi (heavy),,,,1,,1500,,,2500,
568,,,guarden qanchi (normal),,,,1,,900,,,1500,
569,,,"smt gunya 24""",,,,1,,760,,,950,
570,,,"paint brush 2"" (N)",,,,1,,40,,,100,
571,,,hamer ktc (M),,,,1,,550,,,750,
572,,,ceiling hole saw set (adjustable),,,,1,,450,,,750,
573,,,"hand level 12""",,,,1,,480,,,700,
574,,,drill chaka (heavy),,,,,,180,,,350,
575,,,basin bolt kit,,,,1,,75,,,250,
576,,,comode kit (ss),,,,1,,75,,,250,
577,,,"disc masala 7"" ( ragrai)",,,,1,,210,,,300,
578,,,zahid side pilar cock (aqua),,,,1,,1610,,,2500,
579,,,km pendent holder (H - 12),,,,1,,43,,,150,
580,,,"disc sjl  7""",,,,1,,350,,,750,
581,,,"disc 4"" ( jhari)",,,,1,,250,,,450,
582,,,"disc 5"" ( jhari)",,,,1,,350,,,500,
583,,,factor smd 7w (glow+clark),,,,1,,287,,,350,
584,,,factor smd 12w (glow+clark),,,,1,,350,,,450,
585,,,"disc steel 4"" (mm)",,,,1,,30,,,60,
586,,,glue gun,,,,1,,400,,,650,
587,,,"gunya steel 10""",,,,1,,150,,,300,
588,,,pilot set orignal,,,,1,,550,,,750,
589,,,Ari frame (medium),,,,1,,200,,,450,
590,,,ari blade,,,,1,,38.19,,,60,
591,,,imersion rod ,,,,1,,220,,,450,
592,,,"cutter cable 6""",,,,1,,400,,,650,
593,,,"cutter cable 8""",,,,1,,250,,,380,
594,,,cloth wire (N),,,,1,,190,,,300,
595,,,driver screw (two way),,,,1,,46,,,100,
596,,,plier (super),,,,1,,325,,,500,
597,,,"disc 4"" (marble)",,,,1,,450,,,700,
598,,,"disc steel 7"" (mm)",,,,1,,200,,,350,
599,,,ac copper rod,,,,1,,80,,,120,
600,,,"npi warma 6mm (6"")",,,,1,,190,,,280,
